GeneSymbol,correlation,pvalue
A1BG,-0.0674607340011572,0.578115822435921
AAAS,0.478271002576622,0.0683678138017098
AAK1,0.506820426088444,0.0557986221938128
AARS,0.506685464566392,0.0558542222136175
AARSD1,0.0126235597297747,0.485307586148418
AASDH,0.412568356707652,0.103652890988249
AASS,0.327380496812173,0.162863093279442
AATF,0.226582332879884,0.251435756464214
ABCA1,0.551763600875507,0.0392280080035557
ABCA4,0.404332458257977,0.108714254915243
ABCA5,0.565389672748397,0.0349430336896386
ABCA6,0.44795108849075,0.0835327392575833
ABCA9,0.539694484052066,0.043304308359031
ABCB1,0.755173333496272,0.00360285507420675
ABCB10,0.167940744014326,0.310797581202657
ABCB6,0.343750437234306,0.150319094869365
ABCB7,0.354217195180754,0.142585271944948
ABCC1,0.723216130666898,0.00594879269783535
ABCC11,0.0120845014350543,0.485934771260971
ABCC12,0.281880269036837,0.200518351344891
ABCC3,0.607913508007833,0.0236194644843573
ABCC4,0.594805037270711,0.0267916100857284
ABCC5,0.263492816973416,0.216850250377063
ABCC8,0.865585785635105,0.000287501653620556
ABCC9,0.827992549249903,0.000823783371240332
ABCD2,0.1110063629008,0.372617604382455
ABCF2,0.285702806868678,0.197201610325878
ABCG1,0.473551120719272,0.0706042319473942
ABCG2,0.729368572409871,0.00542940634317289
ABCG4,0.385364981088078,0.120914434364897
ABCG5,0.223145315822287,0.254772347149921
ABHD1,0.225888116180034,0.252108154848901
ABHD12,0.67721861395041,0.0110340352796304
ABHD12B,0.699739757132121,0.00826422429712572
ABHD13,0.139853458223352,0.340856809044602
ABHD2,0.481045292334873,0.0670744520390638
ABHD3,0.513317996826027,0.0531640560947273
ABHD4,0.327608011743223,0.162685039078311
ABHD6,0.732266159923759,0.00519655250388902
ABHD8,-0.233495867618578,0.75521765150759
ABI1,0.479597875878951,0.0677472789583169
ABI2,0.502412709344046,0.0576330206628685
ABI3BP,0.468685880979097,0.0729572163833648
ABLIM2,0.583037932597618,0.0298769382419038
ABLIM3,0.745542254532418,0.00422139860377017
ABR,0.323810125662869,0.165670886188422
ABT1,0.648069358686829,0.015524437079557
ABTB1,0.61222252788393,0.022635920718153
ABTB2,0.864324691753719,0.00029927126413867
ACAA2,0.499260181628899,0.0589685976417905
ACACA,0.416963911583877,0.101010146101207
ACADL,0.622558731345301,0.0203925790833739
ACADS,0.27206856402137,0.209156174907052
ACAN,0.802368284952953,0.00147944825644713
ACAT2,-0.0346304499353172,0.540257116731925
ACBD7,0.567300443008469,0.0343685039066416
ACHE,0.554321375775082,0.038398292256189
ACO2,0.0574198425899423,0.433413768276418
ACOT12,0.495719460159562,0.0604921794398674
ACOT13,0.157293754087824,0.322081731305481
ACOT2,0.264716096282274,0.21574460837525
ACOT8,0.193670924074182,0.284138723948729
ACOX2,0.155115779181044,0.324407121124419
ACOX3,0.0590700613000185,0.431515455428039
ACP5,-0.0829731893754685,0.595817673567755
ACPL2,0.761192736124264,0.00325167035985332
ACR,-0.322388561317018,0.833204070302929
ACRV1,0.0972376098524501,0.388045066707829
ACSBG1,0.49934846847591,0.058930926326942
ACSBG2,0.260860733408134,0.219238308557379
ACSF2,0.351660521175046,0.144453583722037
ACSF3,0.276130051689702,0.205559033042261
ACSL3,0.579555136421914,0.0308344481435563
ACSL4,0.8550589619306,0.000397277503944724
ACSL5,0.00882759489067365,0.489724689264804
ACSL6,0.752731217794639,0.00375296105754636
ACSM1,-0.249310299624709,0.770137212522483
ACSM5,0.70325152885437,0.0078824862394008
ACSS3,0.50032083337876,0.0585170497225398
ACTA1,0.301039822326708,0.184172451869812
ACTB,0.378624878980955,0.125431976932862
ACTC1,0.772862370006724,0.0026432211936074
ACTG1,0.733585138267986,0.0050929967119098
ACTG2,-0.0167320641433189,0.519471514382653
ACTN1,-0.313997643999519,0.826481448976888
ACTN2,0.700048076369007,0.00823018889159392
ACTN4,0.621762701137092,0.0205596209545918
ACTR10,0.577877643413565,0.0313029690433265
ACTR1A,0.289924901590416,0.193570145653372
ACTR1B,0.623106470730463,0.020278187596841
ACTR3,0.457192333111088,0.0787093390274959
ACTR3B,-0.198729232241703,0.72099373981946
ACTR5,0.263947913594924,0.216438604423915
ACVR1,0.00485145344677866,0.494352555188435
ACVR2A,0.864411954706559,0.000298445327044073
ACVR2B,0.381663825688906,0.123383327314036
ACY3,0.424471808150262,0.0965903329108082
ACYP2,0.500907140049352,0.0582684013030462
ADAD2,0.560909870244051,0.0363152478541356
ADAM15,0.338961722096771,0.153932291771608
ADAM17,-0.0566308517374348,0.565678175131694
ADAM22,0.670032438129248,0.0120417516678132
ADAM23,0.686943378636809,0.00976778935282827
ADAM28,0.700540607207062,0.00817602717865338
ADAM32,0.321414989642077,0.167568754767557
ADAMDEC1,0.207693881436825,0.27000269331698
ADAMTS13,-0.240286994933044,0.761676309149963
ADAMTS16,0.721062334171061,0.00613882892635666
ADAMTS17,0.917801316496061,3.39908877390087e-05
ADAMTS19,0.87756100125437,0.000192351586342958
ADAMTS3,0.833456394707471,0.000718375223856845
ADAMTS5,0.593784198894945,0.0270502390227709
ADAMTS8,0.839556217169129,0.000613008511818584
ADAMTS9,0.101549675426769,0.3831968284677
ADAMTSL1,-0.207145692698992,0.729450193182253
ADAMTSL3,0.530935737908799,0.0464317843588865
ADAP2,0.17571341743058,0.302650505884546
ADC,0.232693634088983,0.245550375263368
ADCY1,0.809832381917823,0.00125851944052457
ADCY2,0.721142038576002,0.00613171915614099
ADCY7,0.833020812419156,0.000726385802500556
ADCY8,0.705365278088423,0.0076589206255856
ADCY9,0.794142821884149,0.00175494831830264
ADCYAP1,0.738365414424537,0.00473022409139202
ADCYAP1R1,0.587200562605992,0.0287592684678625
ADD3,0.735271232156068,0.00496281149667043
ADH5,0.518076805519139,0.0512867026703614
ADHFE1,0.720384709096591,0.0061995152942656
ADI1,0.252494984873996,0.226910056561695
ADK,-0.0586011608082416,0.567945280107755
ADM,0.218066769550003,0.259737045148781
ADNP2,0.313452495037028,0.173960138146089
ADO,0.592385421031997,0.0274073812924355
ADORA1,-0.123320231086168,0.641039482472304
ADORA2A,0.404120024637211,0.108846698185701
ADORA2B,0.551384722766565,0.0393519198082555
ADPRH,-0.204726747429885,0.727030576704652
ADPRHL1,0.472336966113754,0.0711868937666816
ADRA1B,0.626219417405357,0.0196365132535264
ADRA1D,0.828792370956081,0.000807672906835238
ADRA2A,0.525081885557167,0.0486027280259875
ADRA2C,0.531262984345352,0.0463123410857295
ADRB1,0.765982368992534,0.00299071163993147
ADRB2,0.64484573861154,0.016089132327411
ADRBK2,-0.0652035048059844,0.575528418338676
ADSSL1,0.563148313855366,0.0356251514548821
AEBP1,0.425601062233549,0.0959358236921689
AFAP1-AS1,-0.111100573564567,0.627487405267942
AFAP1L1,-0.446295066451862,0.915584125868797
AFAP1L2,0.186323272047393,0.291659255488229
AFF1,0.685759436075312,0.0099161073403811
AFF2,0.430077011694402,0.0933679789406185
AFG3L1P,0.230621192098325,0.247539357621219
AFTPH,0.68116139324247,0.0105073834726497
AGA,0.256611759865476,0.223119372223481
AGAP1,-0.0812947195979141,0.593909506565102
AGAP2,0.763466738318562,0.00312577513078138
AGAP3,0.59947547755599,0.025629902761791
AGBL1,0.274646145494101,0.206869770475828
AGBL3,0.156839136536213,0.322566650051054
AGBL4,-0.545864890547253,0.95881315677674
AGBL5,-0.0115097240030398,0.513396453541569
AGER,0.502154805829977,0.0577415426079237
AGFG2,0.177666969171599,0.300615313209504
AGK,0.126005335786556,0.356001521140577
AGMAT,0.368691468285583,0.132263271550618
AGPAT1,0.285852514454174,0.197072270155887
AGPAT2,0.521811582248853,0.0498440009350825
AGPAT3,0.702904913129446,0.00791958921179296
AGPAT5,0.52618489608144,0.048188683601679
AGPAT9,0.905305861152368,6.30797257899521e-05
AGXT2L1,0.566403932492669,0.034637268579385
AHI1,0.421669566752711,0.0982260925192597
AHNAK,0.215756539426297,0.262008955022666
AHNAK2,0.816758521568236,0.00107641405146175
AHR,0.503109481096112,0.0573404873696557
AIF1,0.464742772406757,0.0748998945240251
AIFM2,0.665583869252253,0.0126972910252271
AIFM3,0.788710235208312,0.00195663434616727
AIM2,0.396095785736145,0.113919135745338
AIP,0.538739766357848,0.0436382372178048
AIRE,-0.0499010048643554,0.55792155160485
AK2,0.0959392371384336,0.389507728126287
AK5,0.545822631598215,0.0412011061559492
AK7,0.748215252433483,0.00404251468278223
AKAP1,0.544541265237613,0.0416351427212986
AKAP10,0.196081794591256,0.281687885184026
AKAP12,0.400896541674993,0.110868078410463
AKAP13,0.6798246246468,0.0106838894620749
AKAP14,0.314477452321078,0.173130377133271
AKAP5,0.164591961516928,0.314331572723529
AKAP6,0.219601771351452,0.258232143408953
AKAP7,0.620004713188723,0.0209318792442547
AKAP8,-0.833721037137157,0.999286459239552
AKD1,-0.00160615586865603,0.50186972801107
AKIRIN1,0.359582526796279,0.138708413907052
AKIRIN2,-0.01124987495654,0.513094099126192
AKR1C1,0.3135229163839,0.173903061750571
AKR1C3,0.137233383304006,0.343706812774485
AKR1C4,-0.212332101615271,0.734608105352802
AKR7A2,0.330645153037508,0.160318134321967
AKR7A3,0.368484759656279,0.132407615959911
AKR7L,-0.58017415522934,0.969337235092806
AKT2,0.206167759958038,0.27152694959915
ALAD,0.389833162135211,0.117972236250014
ALDH1A1,-0.0472555989192654,0.554867388586908
ALDH1A2,0.191939127562692,0.285904380694554
ALDH1A3,0.773875341343793,0.00259469160242772
ALDH1B1,0.766250926471059,0.00297655060910217
ALDH1L1,0.501425822985213,0.0580489997252783
ALDH2,0.508650390172005,0.0550482649083919
ALDH6A1,0.843395350263134,0.000552930980516463
ALDH7A1,0.515717727715455,0.0522118692388066
ALDH9A1,0.469986595469529,0.0723233958301553
ALDOB,0.102110330265077,0.382567548987057
ALDOC,0.538847180075892,0.0436005827048101
ALG1L,0.565793449773921,0.034821091992417
ALG2,0.432670853995505,0.0918991699852173
ALG3,0.047786411992959,0.444519559653609
ALG5,0.205709132809962,0.271985703083148
ALG8,0.324025295568249,0.165500950142735
ALK,0.649296616558387,0.0153131582769366
ALKBH2,0.268943623415724,0.211944397776546
ALKBH7,0.135703261815704,0.34537460645257
ALKBH8,0.0484007928617327,0.443810129254804
ALMS1P,0.298423569852395,0.186363161666374
ALOX12,0.303680461852875,0.18197474875273
ALOX5,0.197295317480334,0.280457424642415
ALOX5AP,0.195633697614835,0.282142776303371
ALPK1,-0.181575997777823,0.703441720044057
ALPL,0.811608074046969,0.00120979866622906
ALS2,0.467524049601652,0.0735262997536894
ALS2CL,-0.106120078200408,0.621925489376644
ALX3,-0.0148058287684263,0.517231128021879
AMBN,-0.157569552330905,0.67821232823311
AMD1,0.23179265865062,0.246414199377222
AMDHD1,0.285993458472607,0.196950539841064
AMIGO2,0.884879732826923,0.000147367323589619
AMMECR1,0.365461427180329,0.134528979702149
AMOT,-0.0548022991000159,0.563572588694817
AMOTL1,0.4198353069069,0.0993057652643458
AMOTL2,0.506422312013164,0.0559627360344761
AMT,0.653500178203397,0.0146047979212416
ANAPC4,0.224099908902785,0.253843741018515
ANG,-0.188325791942635,0.710397920897429
ANGEL2,0.0102627222445899,0.48805458441291
ANGPT1,0.338118859890516,0.154573088890645
ANGPTL1,0.710073169130836,0.00717741699038329
ANGPTL4,0.315161655619199,0.17257763052338
ANGPTL6,-0.129115572646227,0.647417072654196
ANGPTL7,-0.242829082307545,0.764074008647226
ANK1,0.928310415669247,1.865308783803e-05
ANK3,0.287891492598704,0.195314895963411
ANKDD1A,0.738543832713381,0.00471705918155059
ANKFN1,0.670700056466567,0.0119454857719462
ANKFY1,0.568032028386029,0.0341502249530724
ANKH,0.91087907262632,4.84097576336301e-05
ANKK1,0.0189824903387977,0.477911680393217
ANKRD13A,0.481987144659046,0.0666389196152087
ANKRD16,0.587179409048638,0.0287648751050189
ANKRD18A,0.435565386507477,0.0902767690695404
ANKRD20A5P,-0.251453543155943,0.772126294778315
ANKRD20A8P,-0.131535339555519,0.650070002891189
ANKRD22,-0.208886249018885,0.731185761334636
ANKRD23,0.123216377170871,0.359075105930792
ANKRD27,-0.352670069803037,0.856285763139602
ANKRD29,0.808164419491274,0.00130560092076088
ANKRD32,0.598329492211239,0.0259116913515103
ANKRD34B,0.44767132906162,0.0836815297268089
ANKRD37,0.129256155297917,0.352428635866932
ANKRD42,0.401137510177744,0.110716214370222
