gene_symbol,cell_type
C9orf24,Ependymal
C4orf22,Ependymal
C9orf116,Ependymal
C1orf194,Ependymal
C9orf135,Ependymal
C22orf23,Ependymal
C21orf62,Ependymal
C20orf96,Ependymal
C11orf70,Ependymal
C7orf63,Ependymal
ABCA4,Ependymal
AEBP1,Ependymal
KIAA1377,Ependymal
AK7,Ependymal
ANKRD42,Ependymal
ANXA11,Ependymal
APEH,Ependymal
ARMC3,Ependymal
ARVCF,Ependymal
B9D1,Ependymal
BACE2,Ependymal
BDH2,Ependymal
BPHL,Ependymal
CAPSL,Ependymal
CA12,Ependymal
CASC1,Ependymal
CCDC103,Ependymal
CCDC146,Ependymal
CCDC147,Ependymal
CCDC148,Ependymal
CCDC19,Ependymal
CCDC37,Ependymal
CCDC39,Ependymal
CCDC40,Ependymal
CCDC65,Ependymal
CCDC89,Ependymal
CCDC96,Ependymal
CCNO,Ependymal
CELSR1,Ependymal
CETN2,Ependymal
CHCHD10,Ependymal
CHEK2,Ependymal
CLDN1,Ependymal
CLEC3B,Ependymal
CMTM4,Ependymal
CNN3,Ependymal
COL1A1,Ependymal
COL5A2,Ependymal
COL7A1,Ependymal
COL8A2,Ependymal
COL9A1,Ependymal
COX7A1,Ependymal
CPNE2,Ependymal
CRYGN,Ependymal
DBI,Ependymal
DBP,Ependymal
DCDC2,Ependymal
DDX11,Ependymal
DMKN,Ependymal
DNAH10,Ependymal
DNAH2,Ependymal
DNAH5,Ependymal
DNAH6,Ependymal
DNAH7,Ependymal
DNAH9,Ependymal
DNAJA4,Ependymal
DNALI1,Ependymal
DUSP18,Ependymal
EFCAB1,Ependymal
EFHC1,Ependymal
EID3,Ependymal
ELMOD3,Ependymal
EMB,Ependymal
ENKUR,Ependymal
EPPK1,Ependymal
FAM126A,Ependymal
FAM78A,Ependymal
FAM84B,Ependymal
FANK1,Ependymal
FBLN7,Ependymal
FBXO16,Ependymal
FHAD1,Ependymal
FIBIN,Ependymal
GCHFR,Ependymal
C16orf93,Ependymal
C10orf105,Ependymal
C1orf226,Ependymal
GPR98,Ependymal
HDC,Ependymal
HIST1H1D,Ependymal
HMGN1,Ependymal
HRASLS,Ependymal
HSPB6,Ependymal
HTR1B,Ependymal
HYDIN,Ependymal
IFFO2,Ependymal
IL17RC,Ependymal
INTU,Ependymal
IQCA1,Ependymal
IQCK,Ependymal
IQUB,Ependymal
KATNAL2,Ependymal
KIF26B,Ependymal
KIF27,Ependymal
KL,Ependymal
KLHDC9,Ependymal
KREMEN1,Ependymal
LAMA3,Ependymal
LCA5,Ependymal
LECT1,Ependymal
LGALS3,Ependymal
LRRC43,Ependymal
LRRC48,Ependymal
LRRIQ1,Ependymal
MAGEH1,Ependymal
MDH1B,Ependymal
MIA,Ependymal
MLF1,Ependymal
MNS1,Ependymal
MORN5,Ependymal
MRO,Ependymal
MYB,Ependymal
MYO5C,Ependymal
MYO7A,Ependymal
N4BP2,Ependymal
NEK11,Ependymal
NIPAL2,Ependymal
NMB,Ependymal
NME5,Ependymal
NPHP1,Ependymal
NPPC,Ependymal
NR1D1,Ependymal
NTHL1,Ependymal
OGN,Ependymal
OTUD1,Ependymal
P2RX6,Ependymal
PARD6G,Ependymal
PAWR,Ependymal
PCOLCE2,Ependymal
PER2,Ependymal
PIH1D2,Ependymal
PLAGL1,Ependymal
POSTN,Ependymal
PPIL6,Ependymal
PRDX4,Ependymal
PSTPIP1,Ependymal
PYGL,Ependymal
RARB,Ependymal
RDH10,Ependymal
RFX3,Ependymal
RGAG4,Ependymal
ROPN1L,Ependymal
RPGR,Ependymal
RSPH1,Ependymal
RSPH3,Ependymal
RSPH9,Ependymal
S100A6,Ependymal
SCN7A,Ependymal
SCTR,Ependymal
SEC24D,Ependymal
SFRP1,Ependymal
SLC22A4,Ependymal
SLC29A4,Ependymal
SLC2A12,Ependymal
SLC39A13,Ependymal
SMOC1,Ependymal
SPA17,Ependymal
SPAG17,Ependymal
SPAG6,Ependymal
SPAG8,Ependymal
SPATA17,Ependymal
SPEF2,Ependymal
SSH1,Ependymal
STK33,Ependymal
STK36,Ependymal
STYXL1,Ependymal
SULF1,Ependymal
SYT10,Ependymal
TCTEX1D1,Ependymal
TCTN2,Ependymal
TEX9,Ependymal
TMEM107,Ependymal
TMEM108,Ependymal
TMEM220,Ependymal
TRIM68,Ependymal
TRPM3,Ependymal
TSPAN6,Ependymal
TTC12,Ependymal
TTC18,Ependymal
TTC25,Ependymal
TTC8,Ependymal
TTR,Ependymal
TWIST2,Ependymal
UBXN10,Ependymal
UCMA,Ependymal
UPP1,Ependymal
VIT,Ependymal
VWA3A,Ependymal
WDR16,Ependymal
WDR31,Ependymal
WDR52,Ependymal
WNT11,Ependymal
ZCCHC4,Ependymal
ZNF395,Ependymal
ZNF786,Ependymal
ZMYND10,Ependymal
C2orf43,Oligodendrocyte
C20orf194,Oligodendrocyte
C9orf91,Oligodendrocyte
ABTB2,Oligodendrocyte
ACAT2,Oligodendrocyte
ADH5,Oligodendrocyte
ADI1,Oligodendrocyte
ADO,Oligodendrocyte
ADSSL1,Oligodendrocyte
ALDH9A1,Oligodendrocyte
ANKRD13A,Oligodendrocyte
ANO10,Oligodendrocyte
ARHGAP23,Oligodendrocyte
ARSG,Oligodendrocyte
ASAH2,Oligodendrocyte
ATP1B3,Oligodendrocyte
BCAP31,Oligodendrocyte
BTC,Oligodendrocyte
CATSPER2,Oligodendrocyte
CCDC28B,Oligodendrocyte
CCNYL1,Oligodendrocyte
CDR2L,Oligodendrocyte
CEP97,Oligodendrocyte
CFL2,Oligodendrocyte
CHMP1B,Oligodendrocyte
CHN2,Oligodendrocyte
CLGN,Oligodendrocyte
COMMD9,Oligodendrocyte
CYB5A,Oligodendrocyte
DCPS,Oligodendrocyte
DDRGK1,Oligodendrocyte
DHCR24,Oligodendrocyte
DIP2A,Oligodendrocyte
DPY19L1,Oligodendrocyte
EBP,Oligodendrocyte
EFNB3,Oligodendrocyte
EML1,Oligodendrocyte
ENPP6,Oligodendrocyte
EPB41L3,Oligodendrocyte
ERMP1,Oligodendrocyte
FADS6,Oligodendrocyte
FAH,Oligodendrocyte
FAM102A,Oligodendrocyte
FAM173B,Oligodendrocyte
FAM83D,Oligodendrocyte
FBXO32,Oligodendrocyte
FDPS,Oligodendrocyte
FGD3,Oligodendrocyte
FHDC1,Oligodendrocyte
FIGN,Oligodendrocyte
GAMT,Oligodendrocyte
GHDC,Oligodendrocyte
GJB1,Oligodendrocyte
GLOD4,Oligodendrocyte
GNA12,Oligodendrocyte
GNG8,Oligodendrocyte
GPD1,Oligodendrocyte
GPR155,Oligodendrocyte
GRB14,Oligodendrocyte
GSS,Oligodendrocyte
GYG1,Oligodendrocyte
HAUS5,Oligodendrocyte
HCN2,Oligodendrocyte
HINT3,Oligodendrocyte
HMGCS1,Oligodendrocyte
HN1L,Oligodendrocyte
HS3ST1,Oligodendrocyte
IL1RAP,Oligodendrocyte
KCNA1,Oligodendrocyte
KLHL2,Oligodendrocyte
KNDC1,Oligodendrocyte
LGI3,Oligodendrocyte
MAP6D1,Oligodendrocyte
MAPK3,Oligodendrocyte
MBP,Oligodendrocyte
MICALL1,Oligodendrocyte
MOBP,Oligodendrocyte
NIPSNAP3A,Oligodendrocyte
NKAIN2,Oligodendrocyte
OLIG1,Oligodendrocyte
PACS2,Oligodendrocyte
PARD3,Oligodendrocyte
PCYT2,Oligodendrocyte
PDLIM2,Oligodendrocyte
PFKFB3,Oligodendrocyte
PHLDA3,Oligodendrocyte
PKD2L1,Oligodendrocyte
PLCL1,Oligodendrocyte
PLEKHA1,Oligodendrocyte
PLEKHF1,Oligodendrocyte
PMVK,Oligodendrocyte
POP4,Oligodendrocyte
PPP1R16B,Oligodendrocyte
PTCH1,Oligodendrocyte
PTPLA,Oligodendrocyte
PXMP4,Oligodendrocyte
RAB33A,Oligodendrocyte
RAB37,Oligodendrocyte
RFTN1,Oligodendrocyte
RHPN2,Oligodendrocyte
RNF141,Oligodendrocyte
RNF7,Oligodendrocyte
RNLS,Oligodendrocyte
RTKN2,Oligodendrocyte
SCCPDH,Oligodendrocyte
SEC11C,Oligodendrocyte
SEC14L5,Oligodendrocyte
SEMA3D,Oligodendrocyte
SERPIND1,Oligodendrocyte
SH3GL3,Oligodendrocyte
SLC22A23,Oligodendrocyte
SLPI,Oligodendrocyte
SMAD7,Oligodendrocyte
SRD5A1,Oligodendrocyte
TAF13,Oligodendrocyte
TCEANC,Oligodendrocyte
TFEB,Oligodendrocyte
THBS3,Oligodendrocyte
TMCC2,Oligodendrocyte
TMEFF1,Oligodendrocyte
TMEFF2,Oligodendrocyte
TMEM117,Oligodendrocyte
TMEM125,Oligodendrocyte
TMEM141,Oligodendrocyte
TMEM159,Oligodendrocyte
TMEM189,Oligodendrocyte
TMEM81,Oligodendrocyte
TMPRSS5,Oligodendrocyte
TRADD,Oligodendrocyte
TRIM13,Oligodendrocyte
TRIM36,Oligodendrocyte
TSPAN2,Oligodendrocyte
TXNDC17,Oligodendrocyte
VANGL2,Oligodendrocyte
WFIKKN2,Oligodendrocyte
WIPI1,Oligodendrocyte
WNT3,Oligodendrocyte
ZDHHC12,Oligodendrocyte
ZFP14,Oligodendrocyte
ZSCAN29,Oligodendrocyte
C10orf128,Microglia
CXorf21,Microglia
ABCA9,Microglia
ABCC3,Microglia
ADCY7,Microglia
ADRB2,Microglia
AHR,Microglia
IFI16,Microglia
AIF1,Microglia
AIM2,Microglia
ALOX5AP,Microglia
ALOX5,Microglia
ANGPTL7,Microglia
APAF1,Microglia
ARHGAP19,Microglia
ARHGAP4,Microglia
ARRB2,Microglia
BCL2A1,Microglia
BID,Microglia
BIN2,Microglia
BLNK,Microglia
BLVRA,Microglia
BLVRB,Microglia
C1QA,Microglia
C1QB,Microglia
C1QC,Microglia
C3AR1,Microglia
C5AR1,Microglia
CAMK1,Microglia
CASP1,Microglia
CCDC88B,Microglia
CCR1,Microglia
CD163,Microglia
CD36,Microglia
CD53,Microglia
CD68,Microglia
CD83,Microglia
CD84,Microglia
CD86,Microglia
CEBPA,Microglia
CENPF,Microglia
CFP,Microglia
CH25H,Microglia
CLCN5,Microglia
CLEC4A,Microglia
COTL1,Microglia
CREG1,Microglia
CSF1R,Microglia
CSF3R,Microglia
CTSC,Microglia
CTSZ,Microglia
CX3CR1,Microglia
CXCL16,Microglia
CXCL2,Microglia
CXCL3,Microglia
CYBB,Microglia
CYTH4,Microglia
DENND1B,Microglia
DENND1C,Microglia
DHDH,Microglia
DOCK8,Microglia
DTX2,Microglia
EBI3,Microglia
EGR2,Microglia
ETHE1,Microglia
EVI2B,Microglia
F13A1,Microglia
FAU,Microglia
FCER1G,Microglia
FCGR1A,Microglia
FCGR2A,Microglia
FNIP2,Microglia
FOLR2,Microglia
FTL,Microglia
GALNT12,Microglia
GINS2,Microglia
MTHFS,Microglia
GMFG,Microglia
LILRB4,Microglia
GPR160,Microglia
GPR183,Microglia
GPR34,Microglia
GPX3,Microglia
GRN,Microglia
HAVCR2,Microglia
HCK,Microglia
HEXA,Microglia
HIST2H2BF,Microglia
HK2,Microglia
HMHA1,Microglia
HMOX1,Microglia
HPGD,Microglia
HVCN1,Microglia
IGSF6,Microglia
IKZF1,Microglia
IL10RA,Microglia
IL1B,Microglia
ITGAM,Microglia
ITGB2,Microglia
KDM2B,Microglia
LAPTM5,Microglia
LAT2,Microglia
LCP1,Microglia
LCP2,Microglia
LY86,Microglia
LY96,Microglia
LYVE1,Microglia
MAML1,Microglia
MAN1C1,Microglia
MAP3K14,Microglia
MAPKAPK2,Microglia
MASP2,Microglia
MCFD2,Microglia
MKNK1,Microglia
MLXIPL,Microglia
MOCOS,Microglia
MPEG1,Microglia
MPP1,Microglia
MS4A7,Microglia
MYO1F,Microglia
"NAGPA",Microglia
NCF2,Microglia
NCKAP1L,Microglia
NCOA3,Microglia
NDST2,Microglia
NPL,Microglia
P2RY12,Microglia
P2RY13,Microglia
P2RY6,Microglia
PACSIN2,Microglia
PARVG,Microglia
PIK3CD,Microglia
PIK3CG,Microglia
PKN1,Microglia
PLAGL2,Microglia
PLAU,Microglia
PLCG2,Microglia
PTPLAD2,Microglia
PXN,Microglia
PYCARD,Microglia
RAB32,Microglia
RAB43,Microglia
RAB8B,Microglia
RAC2,Microglia
RCAN1,Microglia
RGS2,Microglia
RILPL2,Microglia
RPL35A,Microglia
SCPEP1,Microglia
SELPLG,Microglia
SERPINB8,Microglia
SGSH,Microglia
SH3BP1,Microglia
SHCBP1,Microglia
SKAP2,Microglia
SLA,Microglia
SLC15A3,Microglia
SLC16A6,Microglia
SLC2A5,Microglia
SNX2,Microglia
SPI1,Microglia
STAB1,Microglia
STK3,Microglia
SUSD1,Microglia
SUSD3,Microglia
SYK,Microglia
TAGAP,Microglia
TFEC,Microglia
TGFBI,Microglia
TGFBR1,Microglia
TLN2,Microglia
TLR2,Microglia
TLR7,Microglia
TMCO4,Microglia
TMEM86A,Microglia
TMEM8A,Microglia
TNFAIP8L2,Microglia
TNF,Microglia
TNFRSF11A,Microglia
TREM2,Microglia
TRIM21,Microglia
TYROBP,Microglia
VAV1,Microglia
VCAN,Microglia
WDFY4,Microglia
WWP1,Microglia
ZNF710,Microglia
ABI1,CA1 Pyramidal
ACTR3,CA1 Pyramidal
ADRA1D,CA1 Pyramidal
ADRA2C,CA1 Pyramidal
AGAP3,CA1 Pyramidal
AGFG2,CA1 Pyramidal
AHI1,CA1 Pyramidal
AMZ1,CA1 Pyramidal
ANO5,CA1 Pyramidal
AP1S1,CA1 Pyramidal
AP3B2,CA1 Pyramidal
AR,CA1 Pyramidal
ARL15,CA1 Pyramidal
ARPC2,CA1 Pyramidal
ARPC5,CA1 Pyramidal
ARSJ,CA1 Pyramidal
ASAP2,CA1 Pyramidal
ASPHD2,CA1 Pyramidal
B3GAT1,CA1 Pyramidal
B4GALNT1,CA1 Pyramidal
BCR,CA1 Pyramidal
BHLHE22,CA1 Pyramidal
C2CD2L,CA1 Pyramidal
CACNA1E,CA1 Pyramidal
CACNG8,CA1 Pyramidal
CAMTA2,CA1 Pyramidal
CASD1,CA1 Pyramidal
CCDC109B,CA1 Pyramidal
CCDC112,CA1 Pyramidal
C15orf57,CA1 Pyramidal
CCDC88C,CA1 Pyramidal
CCRN4L,CA1 Pyramidal
CDS1,CA1 Pyramidal
CELSR2,CA1 Pyramidal
CHD3,CA1 Pyramidal
CHRD,CA1 Pyramidal
CHST15,CA1 Pyramidal
CHST1,CA1 Pyramidal
CLCNKB,CA1 Pyramidal
CPNE6,CA1 Pyramidal
CPT1C,CA1 Pyramidal
CRYM,CA1 Pyramidal
CSTF3,CA1 Pyramidal
CTNND2,CA1 Pyramidal
CYS1,CA1 Pyramidal
DAGLA,CA1 Pyramidal
DCAKD,CA1 Pyramidal
DCBLD1,CA1 Pyramidal
DCLK2,CA1 Pyramidal
DCN,CA1 Pyramidal
DIO3,CA1 Pyramidal
DOCK4,CA1 Pyramidal
DPF1,CA1 Pyramidal
DPYD,CA1 Pyramidal
DRD5,CA1 Pyramidal
DSCAML1,CA1 Pyramidal
DTNBP1,CA1 Pyramidal
DTWD1,CA1 Pyramidal
EFR3A,CA1 Pyramidal
ELK1,CA1 Pyramidal
EPHA6,CA1 Pyramidal
EPHB2,CA1 Pyramidal
ETV1,CA1 Pyramidal
FAM132A,CA1 Pyramidal
FAT4,CA1 Pyramidal
FBN1,CA1 Pyramidal
FGF10,CA1 Pyramidal
FKBP1A,CA1 Pyramidal
FKBP5,CA1 Pyramidal
FNDC4,CA1 Pyramidal
FRAS1,CA1 Pyramidal
GABBR1,CA1 Pyramidal
GABRA5,CA1 Pyramidal
GALNT3,CA1 Pyramidal
GAPDH,CA1 Pyramidal
GPD2,CA1 Pyramidal
GPR161,CA1 Pyramidal
GPR39,CA1 Pyramidal
GRASP,CA1 Pyramidal
GREM1,CA1 Pyramidal
GRID1,CA1 Pyramidal
GRIN2A,CA1 Pyramidal
HLA-DMA,CA1 Pyramidal
HAS3,CA1 Pyramidal
HTR4,CA1 Pyramidal
HUNK,CA1 Pyramidal
JPH4,CA1 Pyramidal
KCNA4,CA1 Pyramidal
KCNB2,CA1 Pyramidal
KLK7,CA1 Pyramidal
LMO1,CA1 Pyramidal
LMO7,CA1 Pyramidal
LPHN3,CA1 Pyramidal
LRFN2,CA1 Pyramidal
LRRC7,CA1 Pyramidal
LRRN2,CA1 Pyramidal
LYPD1,CA1 Pyramidal
MAP4,CA1 Pyramidal
MARCH3,CA1 Pyramidal
MAST3,CA1 Pyramidal
MATK,CA1 Pyramidal
MATN2,CA1 Pyramidal
MC4R,CA1 Pyramidal
MCHR1,CA1 Pyramidal
MEGF11,CA1 Pyramidal
MICAL2,CA1 Pyramidal
MKL1,CA1 Pyramidal
MPP6,CA1 Pyramidal
MSRA,CA1 Pyramidal
MST1R,CA1 Pyramidal
MTUS2,CA1 Pyramidal
MYH7,CA1 Pyramidal
"NAPG",CA1 Pyramidal
NDST3,CA1 Pyramidal
NDST4,CA1 Pyramidal
NEDD4L,CA1 Pyramidal
NLGN1,CA1 Pyramidal
NPAS2,CA1 Pyramidal
NPDC1,CA1 Pyramidal
NPHP4,CA1 Pyramidal
NPR3,CA1 Pyramidal
NR4A2,CA1 Pyramidal
NRIP1,CA1 Pyramidal
NSUN7,CA1 Pyramidal
NTNG1,CA1 Pyramidal
ONECUT2,CA1 Pyramidal
ORAI2,CA1 Pyramidal
OSBPL6,CA1 Pyramidal
OTUB2,CA1 Pyramidal
PCDH19,CA1 Pyramidal
PCK2,CA1 Pyramidal
PDE10A,CA1 Pyramidal
PLCH2,CA1 Pyramidal
PLXNA1,CA1 Pyramidal
PLXNC1,CA1 Pyramidal
PNMAL1,CA1 Pyramidal
POLE4,CA1 Pyramidal
PPFIA2,CA1 Pyramidal
PPP1R14C,CA1 Pyramidal
PPP4R4,CA1 Pyramidal
PRKAG2,CA1 Pyramidal
PRNP,CA1 Pyramidal
PSD3,CA1 Pyramidal
PTPRU,CA1 Pyramidal
PXDN,CA1 Pyramidal
PYGO1,CA1 Pyramidal
RAB3D,CA1 Pyramidal
RAB3IP,CA1 Pyramidal
RAE1,CA1 Pyramidal
RAP2B,CA1 Pyramidal
RASAL1,CA1 Pyramidal
RBM43,CA1 Pyramidal
RNF150,CA1 Pyramidal
RNF165,CA1 Pyramidal
ROCK2,CA1 Pyramidal
RSPO2,CA1 Pyramidal
RUNX1T1,CA1 Pyramidal
RUNX2,CA1 Pyramidal
RXRG,CA1 Pyramidal
SAMD5,CA1 Pyramidal
SEPT9,CA1 Pyramidal
SERPINA3,CA1 Pyramidal
SEZ6L,CA1 Pyramidal
SH3BP5,CA1 Pyramidal
SH3RF1,CA1 Pyramidal
SHANK2,CA1 Pyramidal
SIPA1L3,CA1 Pyramidal
SLC16A14,CA1 Pyramidal
SLC26A4,CA1 Pyramidal
SLC4A7,CA1 Pyramidal
SLIT1,CA1 Pyramidal
SLITRK3,CA1 Pyramidal
SORL1,CA1 Pyramidal
SPEG,CA1 Pyramidal
SPINK8,CA1 Pyramidal
SRGAP3,CA1 Pyramidal
SSX2IP,CA1 Pyramidal
STIM2,CA1 Pyramidal
STXBP5,CA1 Pyramidal
SUB1,CA1 Pyramidal
SYNGAP1,CA1 Pyramidal
SYT17,CA1 Pyramidal
TANC1,CA1 Pyramidal
TCF20,CA1 Pyramidal
THRB,CA1 Pyramidal
THSD7B,CA1 Pyramidal
TMEM150C,CA1 Pyramidal
TMEM200A,CA1 Pyramidal
TNFRSF25,CA1 Pyramidal
TNR,CA1 Pyramidal
TRAIP,CA1 Pyramidal
UHRF1BP1L,CA1 Pyramidal
UNC13B,CA1 Pyramidal
USP27X,CA1 Pyramidal
USP46,CA1 Pyramidal
WBSCR17,CA1 Pyramidal
WFS1,CA1 Pyramidal
WIPF3,CA1 Pyramidal
