gene_symbol,cell_type
C9orf24,Ependymal
C9orf50,Ependymal
C2orf81,Ependymal
C6orf165,Ependymal
C4orf22,Ependymal
C9orf116,Ependymal
C1orf192,Ependymal
C1orf194,Ependymal
C17orf97,Ependymal
C9orf135,Ependymal
C4orf47,Ependymal
C22orf23,Ependymal
C1orf189,Ependymal
C17orf58,Ependymal
C8orf37,Ependymal
ERICH3,Ependymal
C21orf62,Ependymal
C20orf173,Ependymal
C20orf96,Ependymal
C11orf70,Ependymal
C7orf63,Ependymal
ABCA4,Ependymal
ACE,Ependymal
ADAMTS20,Ependymal
AEBP1,Ependymal
KIAA1377,Ependymal
AK7,Ependymal
AK8,Ependymal
AKIP1,Ependymal
ALMS1,Ependymal
ANKRD42,Ependymal
ANXA11,Ependymal
APEH,Ependymal
ARMC3,Ependymal
ARVCF,Ependymal
ASCC1,Ependymal
B9D1,Ependymal
BACE2,Ependymal
KIAA1804,Ependymal
BDH2,Ependymal
BICC1,Ependymal
BPHL,Ependymal
BTBD8,Ependymal
C1QTNF5,Ependymal
CAPSL,Ependymal
CA12,Ependymal
CASC1,Ependymal
CATSPERG,Ependymal
CCDC103,Ependymal
CCDC108,Ependymal
CCDC113,Ependymal
CCDC114,Ependymal
CCDC122,Ependymal
CCDC135,Ependymal
CCDC146,Ependymal
CCDC147,Ependymal
CCDC148,Ependymal
CCDC153,Ependymal
CCDC176,Ependymal
CCDC17,Ependymal
CCDC19,Ependymal
CCDC34,Ependymal
CCDC37,Ependymal
CCDC39,Ependymal
CCDC40,Ependymal
CCDC65,Ependymal
CCDC81,Ependymal
CCDC87,Ependymal
CCDC89,Ependymal
CCDC96,Ependymal
CCNO,Ependymal
CD109,Ependymal
CD55,Ependymal
CDKL4,Ependymal
CDR2,Ependymal
CELSR1,Ependymal
CENPO,Ependymal
CEP128,Ependymal
CETN2,Ependymal
CHCHD10,Ependymal
CHEK2,Ependymal
CLDN1,Ependymal
CLEC3B,Ependymal
CMTM4,Ependymal
CNN3,Ependymal
COL1A1,Ependymal
COL5A2,Ependymal
COL6A2,Ependymal
COL6A5,Ependymal
COL7A1,Ependymal
COL8A2,Ependymal
COL9A1,Ependymal
COX6B2,Ependymal
COX7A1,Ependymal
CPNE2,Ependymal
CRB2,Ependymal
CROCC,Ependymal
CRYGN,Ependymal
CSAD,Ependymal
DBI,Ependymal
DBP,Ependymal
DCDC2,Ependymal
DCHS1,Ependymal
DDO,Ependymal
DDX11,Ependymal
DHX40,Ependymal
DMKN,Ependymal
DMPK,Ependymal
DNAAF1,Ependymal
DNAH10,Ependymal
DNAH11,Ependymal
DNAH1,Ependymal
DNAH2,Ependymal
DNAH5,Ependymal
DNAH6,Ependymal
DNAH7,Ependymal
DNAH9,Ependymal
DNAI1,Ependymal
DNAI2,Ependymal
DNAJA4,Ependymal
DNAJC3,Ependymal
DNALI1,Ependymal
DNMBP,Ependymal
DPCD,Ependymal
DRC1,Ependymal
DSG2,Ependymal
DUSP18,Ependymal
DYNC2LI1,Ependymal
DYNLRB2,Ependymal
DYX1C1,Ependymal
CCDC180,Ependymal
EFCAB1,Ependymal
EFCAB2,Ependymal
EFCAB7,Ependymal
EFHC1,Ependymal
EID3,Ependymal
ELMOD3,Ependymal
ELOF1,Ependymal
EMB,Ependymal
ENKUR,Ependymal
ENO4,Ependymal
EPPK1,Ependymal
ERICH2,Ependymal
ETFA,Ependymal
EXT1,Ependymal
FAM126A,Ependymal
FAM154B,Ependymal
FAM160A1,Ependymal
FAM179A,Ependymal
FAM216B,Ependymal
FAM221A,Ependymal
FAM227A,Ependymal
FAM71A,Ependymal
FAM78A,Ependymal
FAM84B,Ependymal
FANK1,Ependymal
FBLN7,Ependymal
FBXO10,Ependymal
FBXO16,Ependymal
FGD4,Ependymal
FHAD1,Ependymal
FHL1,Ependymal
FHL3,Ependymal
FIBIN,Ependymal
FLNC,Ependymal
FOXJ1,Ependymal
GADD45G,Ependymal
GALK2,Ependymal
GAS8,Ependymal
GCHFR,Ependymal
GDF11,Ependymal
GKAP1,Ependymal
GLB1L2,Ependymal
C8orf88,Ependymal
C7orf57,Ependymal
TGFBR3L,Ependymal
IFIT1,Ependymal
C16orf93,Ependymal
C10orf105,Ependymal
C11orf71,Ependymal
C1orf226,Ependymal
LOC100652824,Ependymal
GNAI3,Ependymal
GPR98,Ependymal
H2AFV,Ependymal
HDC,Ependymal
HIPK1,Ependymal
HIST1H1D,Ependymal
HIST2H4A,Ependymal
HIST1H4K,Ependymal
HIST1H3G,Ependymal
HMGN1,Ependymal
HRASLS,Ependymal
HSP90AA1,Ependymal
HSPA2,Ependymal
HSPB6,Ependymal
HTR1B,Ependymal
HYDIN,Ependymal
IFFO2,Ependymal
IFIT3,Ependymal
IGF2,Ependymal
IL17RC,Ependymal
INTU,Ependymal
IQCA1,Ependymal
