cell_type,gene_symbol
Ependymal,0610009L18Rik
Ependymal,1110008J03Rik
Ependymal,1110017D15Rik
Ependymal,1700001O22Rik
Ependymal,1700003E16Rik
Ependymal,1700003M02Rik
Ependymal,1700007G11Rik
Ependymal,1700007K13Rik
Ependymal,1700007L15Rik
Ependymal,1700009P17Rik
Ependymal,1700013F07Rik
Ependymal,1700013G23Rik
Ependymal,1700016K19Rik
Ependymal,1700028P14Rik
Ependymal,1700029J07Rik
Ependymal,1700088E04Rik
Ependymal,1700094D03Rik
Ependymal,1810010H24Rik
Ependymal,1810020O05Rik
Ependymal,2310010J17Rik
Ependymal,2610301B20Rik
Ependymal,2610507I01Rik
Ependymal,2810047C21Rik1
Ependymal,2810403D21Rik
Ependymal,2810433D01Rik
Ependymal,3110021N24Rik
Ependymal,4430402I18Rik
Ependymal,4922501L14Rik
Ependymal,4930451C15Rik
Ependymal,4930529M08Rik
Ependymal,4931440P22Rik
Ependymal,4932438H23Rik
Ependymal,4933407L21Rik
Ependymal,5033411D12Rik
Ependymal,5330413P13Rik
Ependymal,6430550D23Rik
Ependymal,6820408C15Rik
Ependymal,8430431K14Rik
Ependymal,9230110C19Rik
Ependymal,9230114K14Rik
Ependymal,A330021E22Rik
Ependymal,A330049N07Rik
Ependymal,A630066F11Rik
Ependymal,A930006K02Rik
Ependymal,Abca4
Ependymal,Abca8a
Ependymal,Acad12
Ependymal,Ace
Ependymal,Acot1
Ependymal,Acot5
Ependymal,Adamts20
Ependymal,Aebp1
Ependymal,AK129341
Ependymal,Ak7
Ependymal,Ak8
Ependymal,Akip1
Ependymal,Alms1
Ependymal,Ankrd42
Ependymal,Anxa11
Ependymal,Apeh
Ependymal,Armc3
Ependymal,Arvcf
Ependymal,Ascc1
Ependymal,Atp8b5
Ependymal,B9d1
Ependymal,Bace2
Ependymal,BC021891
Ependymal,BC026585
Ependymal,Bdh2
Ependymal,Bicc1
Ependymal,Bphl
Ependymal,Btbd8
Ependymal,C1qtnf5
Ependymal,Capsl
Ependymal,Car12
Ependymal,Casc1
Ependymal,Catsperg1
Ependymal,Ccdc103
Ependymal,Ccdc108
Ependymal,Ccdc113
Ependymal,Ccdc114
Ependymal,Ccdc122
Ependymal,Ccdc135
Ependymal,Ccdc146
Ependymal,Ccdc147
Ependymal,Ccdc148
Ependymal,Ccdc153
Ependymal,Ccdc176
Ependymal,Ccdc17
Ependymal,Ccdc19
Ependymal,Ccdc30
Ependymal,Ccdc34
Ependymal,Ccdc37
Ependymal,Ccdc39
Ependymal,Ccdc40
Ependymal,Ccdc65
Ependymal,Ccdc81
Ependymal,Ccdc87
Ependymal,Ccdc89
Ependymal,Ccdc96
Ependymal,Ccno
Ependymal,Cd109
Ependymal,Cd24a
Ependymal,Cd55
Ependymal,Cdkl4
Ependymal,Cdr2
Ependymal,Celsr1
Ependymal,Cenpo
Ependymal,Cep128
Ependymal,Cetn2
Ependymal,Cetn4
Ependymal,Chchd10
Ependymal,Chek2
Ependymal,Cldn1
Ependymal,Clec3b
Ependymal,Cmtm4
Ependymal,Cnn3
Ependymal,Col1a1
Ependymal,Col5a2
Ependymal,Col6a2
Ependymal,Col6a5
Ependymal,Col7a1
Ependymal,Col8a2
Ependymal,Col9a1
Ependymal,Cox6b2
Ependymal,Cox7a1
Ependymal,Cpne2
Ependymal,Crb2
Ependymal,Crocc
Ependymal,Crygn
Ependymal,Csad
Ependymal,Daw1
Ependymal,Dbi
Ependymal,Dbp
Ependymal,Dcdc2a
Ependymal,Dchs1
Ependymal,Ddo
Ependymal,Ddx11
Ependymal,Dhx40
Ependymal,Dmkn
Ependymal,Dmpk
Ependymal,Dnaaf1
Ependymal,Dnah10
Ependymal,Dnah11
Ependymal,Dnah1
Ependymal,Dnah2
Ependymal,Dnah5
Ependymal,Dnah6
Ependymal,Dnah7a
Ependymal,Dnah7b
Ependymal,Dnah9
Ependymal,Dnaic1
Ependymal,Dnaic2
Ependymal,Dnaja4
Ependymal,Dnajc3
Ependymal,Dnali1
Ependymal,Dnmbp
Ependymal,Dpcd
Ependymal,Drc1
Ependymal,Dsg2
Ependymal,Dusp18
Ependymal,Dync2li1
Ependymal,Dynlrb2
Ependymal,Dyx1c1
Ependymal,E230008N13Rik
Ependymal,E530011L22Rik
Ependymal,Efcab10
Ependymal,Efcab1
Ependymal,Efcab2
Ependymal,Efcab7
Ependymal,Efhc1
Ependymal,Eid3
Ependymal,Elmod3
Ependymal,Elof1
Ependymal,Emb
Ependymal,Enkur
Ependymal,Eno4
Ependymal,Eppk1
Ependymal,Erich2
Ependymal,Etfa
Ependymal,Ext1
Ependymal,Fam126a
Ependymal,Fam154b
Ependymal,Fam160a1
Ependymal,Fam179a
Ependymal,Fam183b
Ependymal,Fam216b
Ependymal,Fam221a
Ependymal,Fam227a
Ependymal,Fam71a
Ependymal,Fam78a
Ependymal,Fam84b
Ependymal,Fank1
Ependymal,Fbln7
Ependymal,Fbxo10
Ependymal,Fbxo16
Ependymal,Fgd4
Ependymal,Fhad1
Ependymal,Fhl1
Ependymal,Fhl3
Ependymal,Fibin
Ependymal,Flnc
Ependymal,Fndc1
Ependymal,Foxj1
Ependymal,Gadd45g
Ependymal,Galk2
Ependymal,Gas8
Ependymal,Gchfr
Ependymal,Gdf11
Ependymal,Gkap1
Ependymal,Glb1l2
Ependymal,Gm10941
Ependymal,Gm11837
Ependymal,Gm11992
Ependymal,Gm14378
Ependymal,Gm14446
Ependymal,Gm15645
Ependymal,Gm16119
Ependymal,Gm166
Ependymal,Gm17455
Ependymal,Gm19522
Ependymal,Gm216
Ependymal,Gm4013
Ependymal,Gm5617
Ependymal,Gm5918
Ependymal,Gm7694
Ependymal,Gm872
Ependymal,Gm973
Ependymal,Gm9839
Ependymal,Gnai3
Ependymal,Gpr98
Ependymal,Gramd1c
Ependymal,Gstt1
Ependymal,H2afv
Ependymal,Hdc
Ependymal,Hipk1
Ependymal,Hist1h1d
Ependymal,Hist1h4b
Ependymal,Hist1h4j
Ependymal,Hist1h4n_loc1
Ependymal,Hist2h3c2
Ependymal,Hmga2
Ependymal,Hmgn1
Ependymal,Hrasls
Ependymal,Hsp90aa1
Ependymal,Hspa2
Ependymal,Hspb6
Ependymal,Htr1b
Ependymal,Hydin
Ependymal,Iffo2
Ependymal,Ifit3
Ependymal,Igf2
Ependymal,Il17rc
Ependymal,Intu
Ependymal,Iqca
Ependymal,Iqcd
Ependymal,Iqcg
Ependymal,Iqck
Ependymal,Iqub
Ependymal,Irak3
Ependymal,Jund
Ependymal,Katnal2
Ependymal,Kif26b
Ependymal,Kif27
Ependymal,Kif6
Ependymal,Kif9
Ependymal,Kl
Ependymal,Klhdc9
Ependymal,Klkb1
Ependymal,Kremen1
Ependymal,Krt15
Ependymal,Lama3
Ependymal,Laptm4a
Ependymal,Lbp
Ependymal,Lca5
Ependymal,Lect1
Ependymal,Lgals3
Ependymal,Lrguk
Ependymal,Lrrc23
Ependymal,Lrrc43
Ependymal,Lrrc46
Ependymal,Lrrc48
Ependymal,Lrrc51
Ependymal,Lrrc6
Ependymal,Lrrc71
Ependymal,Lrrc9
Ependymal,Lrriq1
Ependymal,Lypla2
Ependymal,Maats1
Ependymal,Mageh1
Ependymal,Mak
Ependymal,Map10
Ependymal,Mdh1b
Ependymal,Mdm1
Ependymal,Meig1
Ependymal,Mettl7a2
Ependymal,Mfsd7b
Ependymal,Mia
Ependymal,Mks1
Ependymal,Mlf1
Ependymal,Mns1
Ependymal,Morn1
Ependymal,Morn5
Ependymal,Mro
Ependymal,Msx1
Ependymal,Myb
Ependymal,Mybl2
Ependymal,Mycbp
Ependymal,Myo5c
Ependymal,Myo7a
Ependymal,N4bp2
Ependymal,Nek11
Ependymal,Nek5
Ependymal,Nin
Ependymal,Nipal2
Ependymal,Nmb
Ependymal,Nme5
Ependymal,Nphp1
Ependymal,Nppc
Ependymal,Nr1d1
Ependymal,Nrp
Ependymal,Nthl1
Ependymal,Nudc
Ependymal,Odf3b
Ependymal,Ogn
Ependymal,Oscp1
Ependymal,Otud1
Ependymal,Otx1
Ependymal,P2rx6
Ependymal,Pard6g
Ependymal,Parp16
Ependymal,Pawr
Ependymal,Pcolce2
Ependymal,Pde1c
Ependymal,Per2
Ependymal,Phykpl
Ependymal,Pifo
Ependymal,Pih1d2
Ependymal,Pla2g5
Ependymal,Plagl1
Ependymal,Plin5
Ependymal,Plscr2
Ependymal,Postn
Ependymal,Ppap2a
Ependymal,Ppil6
Ependymal,Ppp1r32
Ependymal,Ppp1r42
Ependymal,Prdx4
Ependymal,Prlr
Ependymal,Pstpip1
Ependymal,Ptpn21
Ependymal,Pus7
Ependymal,Pygl
Ependymal,Rab11fip4
Ependymal,Rab42
Ependymal,Rarb
Ependymal,Rdh10
Ependymal,Rest
Ependymal,Rfx2
Ependymal,Rfx3
Ependymal,Rgag4
Ependymal,Rhbdd1
Ependymal,Ribc2
Ependymal,Riiad1
Ependymal,Rln1
Ependymal,Rn4.5s_loc1
Ependymal,Rn4.5s_loc2
Ependymal,Rnf138rt1
Ependymal,Ropn1l
Ependymal,Rpgr
Ependymal,Rsph1
Ependymal,Rsph3b
Ependymal,Rsph4a
Ependymal,Rsph9
Ependymal,Ruvbl2
Ependymal,S100a6
Ependymal,Scn7a
Ependymal,Sctr
Ependymal,Sec24d
Ependymal,Sema3b
Ependymal,Serinc2
Ependymal,Serpinb1b
Ependymal,Sfrp1
Ependymal,Ski
Ependymal,Slc16a12
Ependymal,Slc22a4
Ependymal,Slc26a2
Ependymal,Slc26a3
Ependymal,Slc29a4
Ependymal,Slc2a12
Ependymal,Slc39a13
Ependymal,Slc43a3
Ependymal,Smad5
Ependymal,Smim5
Ependymal,Smoc1
Ependymal,Snrpa
Ependymal,Socs1
Ependymal,Sord
Ependymal,Sostdc1
Ependymal,Sp7
Ependymal,Spa17
Ependymal,Spag17
Ependymal,Spag6
Ependymal,Spag8
Ependymal,Spata17
Ependymal,Spata24
Ependymal,Spata33
Ependymal,Spata6
Ependymal,Spef1
Ependymal,Spef2
Ependymal,Spint2
Ependymal,Ssh1
Ependymal,St8sia2
Ependymal,Stk30
Ependymal,Stk33
Ependymal,Stk36
Ependymal,Stpg1
Ependymal,Stxbp4
Ependymal,Styxl1
Ependymal,Sulf1
Ependymal,Syne1_loc2
Ependymal,Syt10
Ependymal,Tango6
Ependymal,Tbcel
Ependymal,Tchh
Ependymal,Tcp11l2
Ependymal,Tctex1d1
Ependymal,Tctex1d4
Ependymal,Tctn2
Ependymal,Tekt1
Ependymal,Tekt4
Ependymal,Tex9
Ependymal,Tgif2
Ependymal,Tmem107
Ependymal,Tmem108
Ependymal,Tmem216
Ependymal,Tmem220
Ependymal,Tmprss7
Ependymal,Tob1
Ependymal,Trim68
Ependymal,Trp53i13
Ependymal,Trp63
Ependymal,Trpm3
Ependymal,Tsga10
Ependymal,Tspan6
Ependymal,Ttc12
Ependymal,Ttc18
Ependymal,Ttc25
Ependymal,Ttc30a2
Ependymal,Ttc30b
Ependymal,Ttc34
Ependymal,Ttc8
Ependymal,Ttll13
Ependymal,Ttll9
Ependymal,Ttr
Ependymal,Tubb4b
Ependymal,Twist2
Ependymal,Uba6
Ependymal,Ubxn10
Ependymal,Ubxn11
Ependymal,Ucma
Ependymal,Ung
Ependymal,Upp1
Ependymal,Urah
Ependymal,Vit
Ependymal,Vwa3a
Ependymal,Wdr16
Ependymal,Wdr31
Ependymal,Wdr35
Ependymal,Wdr52
Ependymal,Wdr65
Ependymal,Wdr78
Ependymal,Wdr96
Ependymal,Wdyhv1
Ependymal,Wnt11
Ependymal,Xpc
Ependymal,Xylb
Ependymal,Zc2hc1c
Ependymal,Zcchc4
Ependymal,Zfp185
Ependymal,Zfp229
Ependymal,Zfp395
Ependymal,Zfp786
Ependymal,Zmynd10
Oligodendrocyte,0610007P14Rik
Oligodendrocyte,1110020A21Rik
Oligodendrocyte,1110057K04Rik
Oligodendrocyte,1500004A13Rik
Oligodendrocyte,1500015L24Rik
Oligodendrocyte,1700001P01Rik
Oligodendrocyte,1700047M11Rik
Oligodendrocyte,1810037I17Rik
Oligodendrocyte,1810058I24Rik
Oligodendrocyte,2310069G16Rik
Oligodendrocyte,2610316D01Rik
Oligodendrocyte,2700046A07Rik
Oligodendrocyte,2700070H01Rik
Oligodendrocyte,2810410L24Rik
Oligodendrocyte,2810429I04Rik
Oligodendrocyte,2810468N07Rik
Oligodendrocyte,3110007F17Rik
Oligodendrocyte,3110045C21Rik
Oligodendrocyte,4930402H24Rik
Oligodendrocyte,4930452G13Rik
Oligodendrocyte,4930506C21Rik
Oligodendrocyte,5031410I06Rik
Oligodendrocyte,5031439G07Rik
Oligodendrocyte,5330426P16Rik
Oligodendrocyte,6330416G13Rik
Oligodendrocyte,9330117O12Rik
Oligodendrocyte,9330188P03Rik
Oligodendrocyte,9630013A20Rik
Oligodendrocyte,A230001M10Rik
Oligodendrocyte,A230009B12Rik
Oligodendrocyte,AA986860
Oligodendrocyte,Aamdc
Oligodendrocyte,Aatk
Oligodendrocyte,Abca2
Oligodendrocyte,Abl1
Oligodendrocyte,Abtb2
Oligodendrocyte,Acat2
Oligodendrocyte,Adh5
Oligodendrocyte,Adi1
Oligodendrocyte,Ado
Oligodendrocyte,Adssl1
Oligodendrocyte,Agpat4
Oligodendrocyte,Aldh9a1
Oligodendrocyte,Angpt4
Oligodendrocyte,Ankrd13a
Oligodendrocyte,Ankrd28
Oligodendrocyte,Anln
Oligodendrocyte,Ano10
Oligodendrocyte,Ano4
Oligodendrocyte,Ap3m1
Oligodendrocyte,Ap5z1
Oligodendrocyte,Aplp1
Oligodendrocyte,Apod
Oligodendrocyte,Arfgap3
Oligodendrocyte,Arhgap23
Oligodendrocyte,Arhgef10
Oligodendrocyte,Arl2
Oligodendrocyte,Arrdc3
